Voedingsstofgroep,Component group,Nutrient-code,Voedingsstof,Component,Eenheid/Unit,Automatic_mapping
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F22:6CN3, C22:6 n-3 cis (DHA), C22:6 n-3 cis (DHA),g,http://purl.obolibrary.org/obo/CHEBI_36005
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,FAPUN6, Vetzuren meervoudig onverzadigd n-6 cis, Fatty acids n-6 polyunsaturated cis,g,http://purl.obolibrary.org/obo/CHEBI_35366
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F18:2CN6, C18:2 n-6 cis (linolzuur), C18:2 n-6 (linoleic acid),g,http://purl.obolibrary.org/obo/CHEBI_17351
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F18:3CN6, C18:3 n-6 cis, C18:3 n-6 cis,g,http://purl.obolibrary.org/obo/CHEBI_25048
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F20:2CN6, C20:2 n-6 cis, C20:2 n-6 cis,g,
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F20:3CN6, C20:3 n-6 cis, C20:3 n-6 cis,g,
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F20:4CN6, C20:4 n-6 cis, C20:4 n-6 cis,g,
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F22:2CN6, C22:2 n-6 cis, C22:2 n-6 cis,g,http://purl.obolibrary.org/obo/CHEBI_75115
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F22:4CN6, C22:4 n-6 cis, C22:4 n-6 cis,g,
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F22:5CN6, C22:5 n-6 cis, C22:5 n-6 cis,g,http://purl.obolibrary.org/obo/CHEBI_61204
Vetzuren n-6 meerv onverz  cis,fatty acids polyunsaturated total n-6,F24:2CN6, C24:2 n-6 cis, C24:2 n-6 ciscis,g,
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,F18:2CN9, C18:2 n-9 cis, C18:2 n-9 cis,g,
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,F18:2CT, C18:2 cis trans, C18:2 cis trans,g,
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,F18:2TC, C18:2 trans cis, C18:2 trans cis,g,
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,F20:3CN9, C20:3 n-9 cis, C20:3 n-9 cis,g,
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,F18:2R, C18:2 overigen, C18:2 remainder,g,
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,FAPUXR, Vetzuren meervoudig onverzadigd rest c+t, Fatty acids polyunsaturated c+t remainder,g,http://purl.obolibrary.org/obo/CHEBI_35366
Vetzuurclusters,Fatty acid clusters,FATRS, Vetzuren trans totaal, Fatty acids trans total,g,http://purl.obolibrary.org/obo/CHEBI_35366
Trans vetzuren (all trans),Trans fatty acids (all trans),F10:1TRS, C10:1 trans  , C10:1 trans,g,
Trans vetzuren (all trans),Trans fatty acids (all trans),F12:1TRS, C12:1 trans  , C12:1 trans,g,
Trans vetzuren (all trans),Trans fatty acids (all trans),F14:1TRS, C14:1 trans  , C14:1 trans,g,http://purl.obolibrary.org/obo/CHEBI_28875
